uid,item,item_no,verdict,rationale
1178,3.5 노출 의도대로 시행,3.5,Y,"무취 조건 30명 이상 무향 확인, 재생 전후 SPL 실측, 스피커 은폐와 돌발음 모니터링(L193-194, L238-242)"
1202,4.1 표집전략 적절,4.1,Y,4개 주거단지 기능공간을 3개 시간대 사운드워크로 조사하고 친숙도 통제 위해 주민 배제(L177-198)
1202,4.2 표본 대표성,4.2,N,"대학생·지인 편의표집에 20~29세 70.6%·60세 이상 0%이고 주민을 배제해 대표성 결여(L193, L938-967)"
1202,4.3 측정 적절,4.3,Y,"B&K 4101 바이노럴과 2270 소음계, 심리음향 지표, ISO/TS 12913-2 5.2절 준거(L177, L206-208)"
1202,4.4 무응답 편의 낮음,4.4,CT,응답률·탈락·결측 처리에 관한 보고가 방법부 전반에 없음(L184-264)
1202,4.5 통계분석 적절,4.5,CT,순서형 로짓은 적절하나 1인 다응답 1528건의 군집 상관을 미보정하고 개인특성도 미투입(L263-264)
1211,4.1 표집전략 적절,4.1,Y,"종단 사례연구에서 의도표집한 단일 dyad의 자연 보행 26개 구간을 분석(L84-85, L128-129)"
1211,4.2 표본 대표성,4.2,N,"모녀 1쌍 단일사례이고 협응 보행 이력이라는 특수성으로 저자도 일반화 불가를 인정(L331, L338)"
1211,4.3 측정 적절,4.3,CT,"행동 코딩은 kappa 0.75~1.0로 견고하나 음환경은 비교정 dB LUFS 중앙값 이분화(L119-121, L131-140)"
1211,4.4 무응답 편의 낮음,4.4,Y,"결측 약 10%와 횡단 구간 제외를 사유와 함께 명시적으로 보고(L116-117, L127-128)"
1211,4.5 통계분석 적절,4.5,Y,"chromatic RQA 파라미터 명시, Mann-Whitney에 Holm-Bonferroni 보정, 무작위 기준선 대비(L146-188, L217-220)"
1221,4.1 표집전략 적절,4.1,Y,"5개 구역에서 10분 간격 체계적 인터셉트로 2023년 9~11월 2개 시간대 조사(L164-166, L186-187)"
1221,4.2 표본 대표성,4.2,N,"18~30세 68.9%·학사 이상 81.3%·관광객 79.7%에 평일만·단일 가로로 한정(L219-224, L272-306)"
1221,4.3 측정 적절,4.3,N,핵심 척도 Cronbach alpha 0.641~0.665로 저자도 낮다고 기술하고 KMO도 0.645~0.684(L492-515)
1221,4.4 무응답 편의 낮음,4.4,CT,응답률·거부·결측에 관한 보고가 방법부 전반에 전혀 없음(L164-256)
1221,4.5 통계분석 적절,4.5,CT,"CATREG·EFA는 적절하나 본문 beta·p값이 Table 4와 불일치하고 Spearman을 R2로 표기(L706-707, L1081-1093)"
1226,4.1,4.1,Y,"5개 도시 사전정의 공간유형별 쿼터 표집, 훈련된 면접원 가정방문 실시(Methods 2.1)"
1226,4.2,4.2,Y,"연령·성별 구조는 인구와 부합하나 도시별 학력 분포 편중을 저자가 인정(2.1, 4.5)"
1226,4.3,4.3,Y,"IPAQ-SF 사용, PM2.5 R2=0.77·Lden R2=0.68 모델, 인지척도 McDonald ω 0.83/0.89(2.2-2.3)"
1226,4.4,4.4,N,"응답률 소피아 30%~플로브디프 58%로 낮고 무응답자 특성 비교 미실시(2.1, 4.5)"
1226,4.5,4.5,Y,"GAM으로 비선형 점검 후 로지스틱 회귀, 로버스트 SE, VIF<5, 80/20 검증(2.5)"
1232,1.1,1.1,Y,연역적 주제분석 기반 전문가 포커스그룹이 인식·정서·행동 탐색이라는 RQ에 부합(2절 서두)
1232,1.2,1.2,Y,"파일럿 포커스그룹으로 질문지 검증, 반구조화 가이드, 튀르키예·국제 2개 코호트 운영(2.1)"
1232,1.3,1.3,Y,"4주제 16하위주제 34코드·102개 코딩사례 도출, 하위주제마다 직접 인용 제시(2.2, 3절)"
1232,1.4,1.4,Y,"해석마다 발췌 인용을 근거로 제시하고 문헌 삼각검증·연구자 성찰성 기술(2.2, 4절)"
1232,1.5,1.5,Y,"연구질문에서 코드북·주제·Healthy Streets 매핑까지 분석 논리가 일관되게 연결(2.2, 4절)"
1242,4.1,4.1,Y,"사운드워크로 4개 조사구역 선정, 평일·주말 무작위 표집, 73dBA 초과 응답 제외(2.3)"
1242,4.2,4.2,CT,"다롄 단일 해안지·14~17시·5~6월 한정, 남성 60% 편중이라 대표성 판단 불가(2.3)"
1242,4.3,4.3,Y,"PRSS 척도 Cronbach α 0.716~0.906, KMO 0.6~0.8, BSWA801 소음계 규격 측정(2.2-2.3)"
1242,4.4,4.4,Y,230부 배포 중 201부 유효로 유효응답률 87% 확보(2.3)
1242,4.5,4.5,Y,"왜도·첨도로 정규성 확인 후 ANOVA·사후검정, CATREG 상대중요도, PCA 적용(2.4)"
1258,4.1,4.1,CT,"6개 측정지점은 천공률 기준 목적표집이나 응답자 모집·선정 절차가 기술되지 않음(2.1, 2.3)"
1258,4.2,4.2,N,"청소년·청년이 87.3%를 차지하고 아동·고령자 누락을 저자도 한계로 인정(2.3, 4절)"
1258,4.3,4.3,Y,"AWA6228+ LAeq_5min, 파노라마 천공률, ISO/TS 12913-2 기반 문항, BORIS 코딩 사용(2.2-2.4)"
1258,4.4,4.4,Y,587부 배포 중 554부 유효 회수로 회수율 94.4%(2.3)
1258,4.5,4.5,Y,"PCA 적재>0.6, Kruskal-Wallis, Spearman, 다중선형회귀 VIF<2 기준 적용(2.5)"
1272,3.1,3.1,N,"TU Delft 학생·교직원 40명 중 남성 33명으로 성비 편중, 저자도 대표성 제한 인정(2.6, 5절)"
1272,3.2,3.2,Y,"90Hz 궤적·헤드트래킹 기록에 SSQ·Presence·Trust 등 표준화 척도 병용(2.5, 2.7.1)"
1272,3.3,3.3,Y,"41명 모집 중 40명이 18개 시나리오 전부 완료, 중도탈락 1명만 분석 제외(2.6)"
1272,3.4,3.4,Y,"피험자내 설계·시나리오 무작위 순서·가로유형 고정에 더해 LMM 임의효과 적용(2.1, 2.7.2)"
1272,3.5,3.5,Y,eHMI 발동거리 15/20/25m와 역제곱 감쇠식으로 자극 전달을 설계대로 통제(2.2)
1280,4.1,4.1,Y,"공공접근성·일상활동 기준 10개 공간 선정, 14일 관찰과 G*Power 최소 109명 충족(2.1, 2.3)"
1280,4.2,4.2,CT,"칭다오 2개 마을·단일 계절 표본이며 농촌 고령인구 대비 대표성 비교자료 없음(2.1, 초록)"
1280,4.3,4.3,Y,"Testo480·AWA5636 교정 측정, GVI/SVI 추출, α=0.812, 관찰 kappa=0.88 보고(2.2)"
1280,4.4,4.4,CT,"배포 설문 수를 보고하지 않아 무응답률 산출 불가, 무효응답 제외만 기술(2.2.2)"
1280,4.5,4.5,Y,"VIF 점검 후 다항 로지스틱, MLP 67/33 분할·하이퍼파라미터 조정, 하위집단 회귀(2.3)"
1306,4.1,4.1,Y,"100m 간격 24,529개 SVI 지점과 정제된 7,247개 주행궤적으로 가로단위 표집(3.3-3.4)"
1306,4.2,4.2,N,KEEP 피트니스앱 이용자 자료로 여가·운동 주행 편중을 저자가 명시적으로 인정(3.4)
1306,4.3,4.3,CT,음환경을 실측 아닌 SVI 기반 ML 추론값으로 대체했고 현지 검증 성능 미보고(3.5.2)
1306,4.4,4.4,N,앱 자발적 업로드 자료의 참여 자기선택 편의를 보정·정량화하지 않음(3.4)
1306,4.5,4.5,Y,"능선회귀로 VIF<3 확보, XGBoost 5-fold 교차검증·80/20 분할, PDP 해석(3.6, 4.1)"
CT0001,sampling strategy relevant to research question,4.1,Y,"2.1-2.2: 가로 양측 12개 지점을 저·고밀도 대비로 배치하고 3개 시간대·10분 간격 조사, 군중밀도 변이 확보가 연구질문과 직결"
CT0001,sample representative of target population,4.2,CT,"2.2: 대표성을 Yu and Kang(2010) 인용으로만 주장, 본문에 응답자 연령·성별 등 인구학적 표 없음; 30분 미만 체류자는 제외"
CT0001,measurements appropriate,4.3,Y,"2.3-2.4: LAeq 5분(3-5초 간격, slow·A-weight, 1.2-1.5m), 1x1m 그리드 사진 계수, 5점 척도 사전 신뢰·타당도 점검. 단 SLM 기종·교정 미기재"
CT0001,risk of nonresponse bias low,4.4,CT,"2.2: 662부 유효만 보고, 접촉 인원·거절 건수·응답률 어디에도 없어 무응답 편의 판단 불가"
CT0001,statistical analysis appropriate to research question,4.5,Y,"2.6·3.1: SPSS 15.0 선형·비선형 회귀, Pearson/Spearman, t-test로 질문에 부합. 0.02 단위 평균 R2=0.724와 원자료 R2=0.261을 병기"
CT0025,participants representative of target population,3.1,N,"Exp1 Procedure는 남성 대학생 52명, Exp2는 학생아파트가 단독 보행 남성 80명으로 한정해 여성을 전면 배제, 표적모집단인 일반 보행자 대표성 결여"
CT0025,measurements appropriate for outcome and exposure,3.2,Y,"Exp2 Procedure: 은닉 관찰자의 ready/go 신호와 표시된 3 sq ft 낙하구역으로 도움 여부를 표준 기록, 노출은 dB(C) 실측(48/65/85 및 50/87)"
CT0025,complete outcome data,3.3,Y,"Table 1 합계 52명, Table 2 조건당 20명x4=80명으로 설계 표본과 정확히 일치, 중도이탈·결측 보고 없음"
CT0025,confounders accounted for in design and analysis,3.4,CT,"Exp2 Procedure: 잔디깎기를 양 조건에 동일 배치해 시각 장면을 맞추고 공모자 편의 방지책을 기술했으나, 조건 배정 순서·요일·기상 통제는 미보고"
CT0025,exposure administered as intended,3.5,Y,"Exp2 Procedure: 낙하 지점 dB(C)를 실측하고 깁스 단서 조작을 명시, 규정 구역 밖으로 떨어진 시행은 집계에서 제외해 노출 충실성 확보"
CT0175,Relevant sampling strategy,4.1,Y,"TCD 등록 학부생 12,224명·교직원 2,624명 전체에 온라인 설문을 배포해 젊은 성인 초점 연구질문의 표적을 포함(2.1)"
CT0175,Representative sample,4.2,N,응답이 대학 재직·재학자에 국한돼 크게 편향됐다고 저자가 방법에서 명시(2.1)하고 한계 절에서 재확인(4절)
CT0175,Appropriate measurements,4.3,N,"음환경 노출이 자기보고 4범주 단일문항뿐 실측 없음, 응답 89%가 quiet·adequate에 몰려 변량이 제약됨(Table 1, 4절 저자 해석)"
CT0175,Low risk of nonresponse bias,4.4,N,응답률이 교직원 11%·학생 5%로 매우 낮고 무응답자 특성 비교를 실시하지 않음(2.1)
CT0175,Appropriate statistical analysis,4.5,Y,"다항로지스틱 회귀에 우도비 검정, Nagelkerke R2=0.4, 분류정확도 49.9% 대 우연 34% 비교를 제시(2.3, Table 2)"
CT0348,표집 전략 적합성,4.1,Y,"§4.1.4 통제실험 17개 배치와 §4.2 Street Canyon 기하에 부합하는 보행가로 2곳 목적표집, 검출 보정용 이미지 300장 이상 무작위 추출"
CT0348,표본 대표성,4.2,N,"§4.2 라스팔마스 2개 가로(7.5·6.3 m)뿐이고 §5 결론에서 다른 가로로 확대 필요를 자인, 음원레벨도 쿠엥카 1개 가로 회귀식(식10) 역산"
CT0348,측정 적절성,4.3,Y,"§4.1.1·§4.2.1 B&K 2250/2270 소음계를 4231 교정기로 사전 교정, §3 YOLOv8 신뢰도 0.2·IoU 0.7과 검출오차 15% 미만 민감도 분석 제시"
CT0348,무응답 편의 위험,4.4,N,"§4.2.3 Sargento Llagas는 저품질 이미지 중 올바르게 처리된 것만 선별하는 후처리를 적용하고 실측 평균도 사분위 밖 이상치를 제외, 제외량은 미보고"
CT0348,통계분석 적절성,4.5,Y,"§4.1.4 17개 시험의 모델·실측 절대차를 박스플롯·평균절대편차로 제시(3 dB 미만 75%), §4.2.3 몬테카를로 30회 평균으로 실가로 비교"
CT0007,표집 전략 적합성,4.1,Y,"§2.1 시안 16개 공원 중 6곳에서 환경 5유형별 2개소씩 10개소 선정, §2.3 20일간 사이트별 2회 8시간 조사, 예비조사 2종으로 체류구간·음원 사전 검증"
CT0007,표본 대표성,4.2,Y,"§2.4 유효 2,034명이 환경유형별 339~471명으로 균형, Appendix Table 7에서 유형 간 인구구성 유사 확인. 단 9~17시·가을 한정"
CT0007,측정 적절성,4.3,Y,"§2.1 B&K 2250 class 1 소음계(1초 로깅)·Kestrel 5500 기상계 병행, §2.2 지각척도는 선행문헌 기반 5점이며 전문가 20인 사운드워크로 8개 음원 선정"
CT0007,무응답 편의 위험,4.4,CT,"§2.3·§2.4에 접촉·거절 인원과 응답률이 없고 미완결 34부 제외로 2,034부라고만 기술, 전문 전체를 검색해도 무응답 정보 부재"
CT0007,통계분석 적절성,4.5,N,"§2.4·Table 3 가설1에서 35개 GLM을 각각 p<0.05로 검정하며 다중비교 보정 없음, 유의 7개는 우연 기대치 약 1.8개와 근접"
CT0414,혼합설계 근거,5.1,Y,"§2.2에서 시각장애인이 핵심 대상집단이라 SEEP 면접을 추가했다고 밝히고, §4 서두에 관찰 표본 94.77%가 비장애인이라 접근성 근거는 면접이 담당한다고 명시"
CT0414,구성요소 통합,5.2,Y,"§2.2 ArcGIS Pro로 행태매핑과 면접 경험요소를 동일 공간에 표현하고, §4.1 두 자료 병치·§4.2 설계전략 5개를 관찰과 면접 양쪽에 근거해 도출"
CT0414,통합 산출 해석,5.3,Y,"§4.1에서 동일 청각환경이 일반 이용자에겐 사회적 유인, 시각장애인에겐 신호대잡음비 의존이라는 단일 자료로는 얻을 수 없는 해석을 도출"
CT0414,정량·정성 불일치 처리,5.4,Y,"§4.1 청각공간의 사회적 상호작용 최다와 확장구역 입구 소음 부정경험이라는 불일치를 집단·소음조건 차이로 설명, §4.2.2에서 촉각 통과행동과 노드 능동지각을 구분"
CT0414,각 구성요소 질 기준,5.5,N,"§3.2.1 Table 4 감각공간 n 합계 2,249가 관측 1,167을 초과해 카이제곱 독립성 위배, §3.3 질적 부분은 인용문·포화·관찰자 신뢰도 미보고"
CT0335,혼합설계 근거,5.1,Y,1절과 7절에 표준 몰입·현존감 설문이 시각자극 보존 AAR에 부적용이라 인터뷰를 택하고 보행은 센서로 측정한다는 병용 근거를 명시
CT0335,구성요소 통합,5.2,Y,4.1절 설문 평정으로 Forest·Beach·Mountain과 Ship Horn을 선정해 5절 현장연구 자극으로 투입하고 각 구간마다 인터뷰와 GPS·가속도 로깅을 동시 수행
CT0335,통합 산출 해석,5.3,Y,7절에서 볼륨 t검정·ANOVA 결과와 '발소리가 너무 크다'는 인터뷰를 결합해 발소리 볼륨을 사운드스케이프보다 17.4% 낮추라는 설계 결론을 도출
CT0335,정량·정성 불일치 처리,5.4,Y,"6.4절과 7절에서 P5가 변화를 못 느꼈으나 Mann-Kendall은 유의(p=0.04)한 점, 빠른 재생이 스트레스로 보고됐으나 추세는 없는 점을 명시적으로 다룸"
CT0335,각 구성요소 질 기준,5.5,N,"6절 전반이 인터뷰 녹음만 언급하고 전사·코딩·주제분석 절차가 전무. 4.1절 Friedman 후 Tukey 사후검정, 7절 Friedman에 F통계량과 t(2,16) 표기 오류"
CT0356,표집 전략 적합성,4.1,Y,방법론절에서 배치·기능이 대비되는 Market·Park 2곳을 목적표집하고 사운드스케이프 범위를 최대화하도록 녹음지점 8개를 배치한 근거를 제시
CT0356,표본 대표성,4.2,N,IVP절에 평가자 10명의 모집 절차·연령·거주 여부가 없고 영어 유창 조건이 터키·러시아·시리아계 다수인 대상 지역과 불일치. 결론절에서 저자도 다양성 부족을 인정
CT0356,측정 적절성,4.3,N,IVP절은 '보정된 재생'이라 하면서 실제로는 각자 자택 PC 재생이고 음압·기기 사양이 전무. Table 2는 유지관리 항목에 투과성 척도를 오기재하고 소음 문항이 역방향 미보정
CT0356,무응답 편의 위험,4.4,CT,전문 어디에도 초청 인원·응답률·거절·중도탈락 기록이 없고 15건 비구조화 인터뷰의 섭외 모수도 미보고되어 판단 근거 자체가 부재
CT0356,통계분석 적절성,4.5,N,Discussion의 Park 평균거리 1.65-3.37이 Table 4의 7.68-15.22 및 같은 문단 후속 수치와 모순. 120개 순열 중 최소값 선택뿐 상관계수·유의성 검정이 없는데 초록은 '유의'로 주장
CT0220,표집 전략 적합성,4.1,Y,"2.1절에서 도로·건물·녹지·수변 특성이 변이하도록 서비스형 11개·경관형 8개 가로를 선정하고 공사중 지점을 배제해 40지점을 확정, 반경 100m 버퍼 근거도 인용"
CT0220,표본 대표성,4.2,N,2.3.2절이 맑은 날 평일 3개 시간대로 한정해 주말·악천후 이용자를 구조적으로 배제하고 응답률 미보고. Table 4에서 핵심 노출 WSR 평균 0.079%로 변이 범위가 극소
CT0220,측정 적절성,4.3,N,Table 2의 쓰레기·배기 악취 문항을 역코딩 없이 쓰면서 결론은 악취가 참여를 저해한다고 해석. pleasant와 eventful을 단일 잠재변수로 묶고 3.4.2절 CR·AVE는 표 없이 문장 주장뿐
CT0220,무응답 편의 위험,4.4,CT,2.3.2절이 '유효 설문 471부'만 기재하고 배포 부수·거절·무효 처리·결측 처리 방법이 전문 어디에도 없어 무응답 편의를 평가할 수 없음
CT0220,통계분석 적절성,4.5,N,"Table 9 Building 경로가 95%CI[-0.035,0.005]로 0을 포함하는데 p=0.015 유의로 등재(지적 사실 확인). 40지점 지표를 471명 독립관측으로 처리, Table 7 Run은 R2=0.108인데 F=2.128"
CT0090,participants representative of target population,3.1,N,"METHODS Participants·GENERAL DISCUSSION: 두 실험 모두 단일 대학 심리학 수강 학부생(19~32세) 편의표본이고 저자도 문화적 동질 집단이라 인정, 일반 보행자 대표성 없음"
CT0090,measurements appropriate for outcome and exposure,3.2,Y,"Measurement of walking speed·Analysis of synchronization: 허리 카메라와 Elan 주석·Matlab 보간격 산출, Musical stimuli·Personality는 BMRI-2와 NEO-FFI 표준 도구"
CT0090,complete outcome data,3.3,Y,"Participants: Exp1은 79명 중 72명(91%)이 음악조건 참여하고 이탈 사유 명시, Exp2는 121명 전원(동기 62·비동기 59)이 분석에 포함"
CT0090,confounders accounted for in design and analysis,3.4,Y,"Procedure·Music condition RESULTS: 성별·보행방향을 ANOVA 요인으로 투입, Exp2는 성별 균형 배정, 템포 배정 교란은 저자가 진단해 완보·속보군 내에서 재분석"
CT0090,exposure administered as intended,3.5,Y,"Procedure: 동일 1.8km 경로에 화살표 표시, 5분 간격 개별 출발과 mp3·헤드폰 지급, 전 구간 비디오 기록으로 노출 이행을 확인"
CT0184,sampling strategy relevant to research question,4.1,Y,"Method Sampling and research sites: 파일럿 음향·이용자 조사로 2개 광장을 선별하고 최성수 시간대 현장 배포, 공공공간 이용자라는 연구질문에 부합"
CT0184,sample representative of target population,4.2,N,Sampling and research sites: 표집틀 없이 광장 2개소 현장 표집뿐이고 응답자 연령·성별 구성표가 전문 어디에도 없어 대표성 근거 부재
CT0184,measurements appropriate,4.3,Y,"Questionnaire design: ISO 12913·Axelsson 기술어 차용, Kang and Zhang 7점 척도, Cronbach 알파 0.733과 중복문항 이중검증, 01dB solo 음압계"
CT0184,risk of nonresponse bias low,4.4,CT,"Sampling and research sites: 배포 304부와 분석 301건만 제시, 접촉 인원·거절 건수·응답률이 전문 전체 검색에도 없어 판단 불가"
CT0184,statistical analysis appropriate to research question,4.5,Y,"Data analysis·Results: 자료형별 이항로지스틱·카이제곱·Spearman·선형회귀 적용, Kolmogorov-Smirnov·Levene·VIF·Durbin-Watson으로 가정 검증. 다만 다중검정 보정 없음"
CT0137,sampling strategy relevant to research question,4.1,Y,2.1 Selection of Case Study·2.4 Off-Site Survey: 규제가 느슨한 사례도시 리촨에서 실제 광장무가 열리는 2개소를 선정하고 지역 소셜미디어로 거주민 모집
CT0137,sample representative of target population,4.2,N,2.4 Off-Site Survey·3.2: 자기선택 온라인 106명 중 60세 이상은 3%뿐이고 저자도 온라인 배포가 연령 접근을 왜곡한다고 인정
CT0137,measurements appropriate,4.3,Y,"2.2 Onsite Measurements·2.4: Castle GA216L에 윈드스크린·1.5m 삼각대, A특성 slow 1분씩 3지점 3회 측정, 기술어는 선행연구 27-29에서 차용"
CT0137,risk of nonresponse bias low,4.4,N,2.4 Off-Site Survey·3.2: 소셜미디어 개방형 배포라 모집단 분모와 응답률이 없고 저자도 접근 편향 탓에 추가 표집이 필요하다고 서술
CT0137,statistical analysis appropriate to research question,4.5,N,"Table 13·15·16: n이 144·224·232로 응답자 106명을 초과해 다중응답을 독립 사례로 계수, Table 3의 표준오차 0.053도 SD 1.19와 불일치"
CT0166,Representative target population,3.1,N,"Study 1·2·3 표본이 심리학 수강 학부생 105·72·79명(19~28세) 단일 대학·단일 도시 편의표본, 저자도 일반화 제약 인정(2.1.1·3.1.1·4.1.1·5절)"
CT0166,Appropriate measurements,3.2,Y,"보행속도는 착용 카메라+ELAN 프레임 주석과 구간 시작·종료 표시선으로 정밀 측정(2.1.3), 환경 노출은 Herzog 출처 11문항 평정(Table 2)과 Lday 소음지도값(5절)으로 특성화"
CT0166,Complete outcome data,3.3,Y,11구간 평균속도를 Table 1·4에 전원 보고하고 원자료를 Supplementary Table S1로 공개; 배제 규칙만 기술하고 수치는 미보고이나 ANOVA df상 결손 5% 이하(2.2·4.2·5절)
CT0166,Confounders accounted for,3.4,Y,"보행방향을 무작위 배정해 피험자간 요인으로 ANOVA 투입(2.1.4·2.2), 평탄하고 건축 특이성 없는 경로 선정(2.1.2), 1시간 블록 무작위 배정과 기상 기록, Study 3 다른 해 재현(4.2·5절)"
CT0166,Exposure occurred as intended,3.5,Y,전 구간 영상 녹화·보도 표시선·화살표로 경로 준수를 검증하고 규칙 위반·방해 사례는 자료 제거(2.1.4·5절); Study 2 평정자는 Study 1 참가자 전원이며 식생·날씨 동일(3.1.1·3.1.3)
CT0322,Relevant sampling strategy,4.1,Y,"차량 이동 기능별 도시가로에서 표본지점을 무작위 선정한 뒤 보행자를 현장 인터셉트하고 음향 측정과 설문을 동시 수행, 검정력 0.94 산출 보고(2절)"
CT0322,Representative sample,4.2,Y,"Table 1에서 연령·성별·학력·직업을 Caceres 인구통계와 직접 대조, 18~80세 전 연령대 포괄하고 성비 근접(43.8 vs 48.1%); 다만 학위자 51.4 vs 33.8%로 편중(2절)"
CT0322,Appropriate measurements,4.3,Y,"class 1 소음계-분석기 15분 측정, 마이크 1.5 m, ISO 1996-2 -3 dB 보정, 측정 전후 class 1 교정, 청력손실 응답 배제, 설문지 Supplementary 공개(2절)"
CT0322,Low risk of nonresponse bias,4.4,N,"응답률 25%로 75%가 거절했는데도 무응답자 특성 비교 없이 검정력 0.94와 표본오차만으로 대표성을 주장하고, 청력손실 배제 건수도 미보고(2절)"
CT0322,Appropriate statistical analysis,4.5,N,"상관 단위를 표본지점 값이라 밝히나 지점 수와 지점별 집계 절차를 전문 어디에도 미보고(2절), 주관 9변수 x 음향 28지표와 1/3옥타브 전대역에 다중비교 보정 없음(Table 3-7)"
CT0126,sampling strategy relevant to research question,4.1,Y,"2.1: 기능별 Category 1-5 가로에서 29개 지점을 무작위 선정해 도시·환경 변이 확보, G*Power·Nunnally·Kline 기준으로 표본 105명 사전 산정"
CT0126,sample representative of target population,4.2,N,"2.1·Conclusions: 응답률 25%에 COVID 경보로 조사 조기 종료돼 105명에 그쳤고 저자도 '하한선'이라 인정, 카세레스 인구 대비 연령·성별 분포 대조 없음"
CT0126,measurements appropriate,4.3,Y,"2.1: ISO/TS 15666 권고 11점 척도 9문항 대면조사, type 1 분석기 1.5m·15분 측정에 측정 전후 교정 확인과 ISO 1996-2 파사드 -3dB 보정 적용"
CT0126,risk of nonresponse bias low,4.4,N,"2.1: 응답률 25%를 본문에 명시하나 무응답자 특성 비교나 가중 보정이 전무하고, 팬데믹으로 표집이 중단돼 편의 방향 확인 불가"
CT0126,statistical analysis appropriate to research question,4.5,Y,"2.2: 분석단위를 N=29 지점평균으로 명시하고 per-survey 정규성·등분산 위배와 지점별 설문수 불균형을 집계 근거로 제시, VIF<5와 BIC 단계선택 적용"
CT0371,participants representative of target population,3.1,N,"2.1-2.2·4.3: RPHV 뉴스레터·기관 의뢰·눈덩이 표집 18명이고 66세 이상 고령자와 안내견 사용자를 제외, 저자도 단일 도시 일반화 한계를 자인"
CT0371,measurements appropriate for outcome and exposure,3.2,Y,"2.3: Trimble R8 상대측위 정확도 2cm로 궤적 측정, O&M 전문가 2인이 안전회랑 사전 획정, 영상·관찰격자 병용, 노출은 6개 회랑 구성·거리로 특정"
CT0371,complete outcome data,3.3,N,"Table 2-4 각주: 수목 잎에 의한 위성신호 결측이 있으나 결측률 미보고, 회랑6은 APS 고장 교체로 n=14. 결과 3.2절은 배정시간 내 횡단 성공 미기록을 명시"
CT0371,confounders accounted for in design and analysis,3.4,N,"3.1·4.3: 전원 동일 순서 통과로 학습·피로 효과가 교란되고, 회랑별 친숙도 5.6-71.4% 편차를 '정도 불명'이라며 분석에서 제외, 공변량 보정 없음"
CT0371,exposure occurred as intended,3.5,Y,"2.4: 동일 시간대·유사 기후(83.3% 여름 맑음)에서 표준 안내문과 보조자 3인 역할을 고정하고 회랑당 3회 동일 방향 통과, APS 음향 고장 회랑은 즉시 교체"
OAS0157,질적 접근 적절성,1.1,Y,"§Methodology/Research Design에서 질적 설계가 lived experience·일상 실천 밀착 파악에 적합하다고 명시, §Research Problem의 연구질문 3개가 모두 의미·경험 해석형이라 부합"
OAS0157,자료수집 방법 적절성,1.2,Y,"§Data Collection에 영어·요루바·피진 반구조화 심층인터뷰와 비참여관찰 필드노트(음향 활동+신체·사회적 반응) 병행을 기술, §Study Areas 3개 시장·인접 모터파크에서 오전~오후 변화를 겨냥"
OAS0157,결과 도출 충분성,1.3,CT,"§Data Analysis가 '내용분석'과 악곡 분석 각 한 문장뿐이라 코딩·주제도출·포화·코더 수 미보고, §Findings의 사·속 음악 정리 표는 캡션만 있고 표 본체 부재해 도출 검증 불가"
OAS0157,해석 근거 충분성,1.4,N,"§Music, Spirituality and Everyday Wellbeing이 Diener 3요인을 측정 없이 배정하며 '더 자주 연관'이라 서술, §Morning Soundscapes의 '청자는 ase 재확인으로 해석'도 참여자 자료 없이 주장"
OAS0157,자료·분석·해석 일관성,1.5,CT,"인터뷰·필드노트·악곡 3개 자료원의 통합·삼각검증 절차가 §Data Analysis에 없고, §Findings 인용은 'Interview/August 2025/Ibadan/성별' 태그뿐이라 20명 표본과 대응 불가"
OAS0198,혼합설계 근거,5.1,Y,"§2 METHODOLOGY가 음향 metrology·심리사회 인터뷰·사운드시퀀스 3단계의 각 역할을 명시하고, §3.1.1에서 'metrology는 필요하나 불충분한 도구'라며 정성 보완 필요를 근거로 제시"
OAS0198,구성요소 통합,5.2,N,"§3.1.2 Victor Hugo(실측)·§3.2.2 Sidi Djellis(인터뷰)·§3.3.2 Aïn Fouara(녹음)로 성분마다 다른 광장을 배정, 동일 사이트에서 정량·정성을 결합한 분석이나 조인트 디스플레이가 전무"
OAS0198,통합 산출 해석,5.3,N,§3.1.2 '벤치 배치·이용이 음환경에 크게 좌우'와 §4 '벤치·카페 테이블이 분수 소음 중심 동심원 구역'이 이용 관측·계수 자료 없이 dB 측정만으로 단정됨
OAS0198,정량·정성 불일치 처리,5.4,N,"§3.1.2가 지점1(분수)과 지점4(교통) 음압이 '거의 동일'하다면서도 뚜렷한 공간 경계를 주장하고 음색 차이로만 설명, 정량·정성 불일치 논의는 전문 어디에도 없음"
OAS0198,각 구성요소 질 기준,5.5,N,"§3.1.1은 측정점 수·소음계 기종·교정·측정시간·지표 정의를 모두 생략하고, §3.2.1은 응답자 수·표집·분석 절차 없이 번역 인용 5개만 제시해 양 전통 기준 미충족"
